Complex_ID,Complex_Name,Subunits_UniProt_IDs,Database
Complex_143,PA700-20S-PA28 complex,"P49720, P48556, Q16401, P55036, Q9UNM6, P25787, P28074, Q99460, Q13200, P17980, O75832, P62195, O00487, Q06323, P28066, P35998, P61289, O43242, P25789, P20618, P62191, O00231, O00233, O95905, P49721, P60900, P43686, Q15008, O00232, O14818, P28070, Q9UL46, Q96A49, Q8TAA3, P28072, P62333, Q99436, P25788, P51665, P40306, P28062, P25786","Heusel_BioPlex_2019, Havugimana_2012, CORUM_Core, CORUM_All"
Complex_144,"Ubiquitin E3 ligase (Lrrc41, Tceb1, Tceb2, Cul5, Rbx1)","Q5M9H1, P83941, Q498D8, P62870, Q9JJ31","CORUM_Core, CORUM_All"
Complex_145,"Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul5, Rbx1)","Q64259, P83941, Q498D8, P62870, Q9JJ31","CORUM_Core, CORUM_All"
Complex_146,"Ubiquitin E3 ligase (Tceb1, Tceb2, Tceb3, Cul5, Rbx1)","P83941, Q498D8, P62870, Q63187, Q9JJ31","CORUM_Core, CORUM_All"
Complex_147,"Ubiquitin E3 ligase (Socs1, Tceb1, Tceb2, Cul5, Rbx1)","P83941, Q498D8, P62870, Q9JJ31, Q9QX78","CORUM_Core, CORUM_All"
Complex_148,"Ubiquitin E3 ligase (Wsb1, Tceb1, Tceb2, Cul5, Rbx1)","Q4KM78, P83941, Q498D8, P62870, Q9JJ31","CORUM_Core, CORUM_All"
Complex_149,HUIC complex,"P38398, Q99728","CORUM_Core, Humap2, CORUM_All"
Complex_150,"Ubiquitin E3 ligase (Med8, Tceb1, Tceb2, Cul2, Rbx1)","P83941, D3ZM37, Q498D8, P62870, A0A0G2K761","CORUM_Core, CORUM_All"
Complex_151,"Ubiquitin E3 ligase (Asb2, Tceb1, Tceb2, Cul5, Rbx1)","Q5U2S6, P83941, Q498D8, P62870, Q9JJ31","CORUM_Core, CORUM_All"
Complex_152,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)","P62877, Q15369, Q13617, Q15370, P40337","CORUM_Core, CORUM_All"
Complex_153,DNA ligase IV-XRCC4 complex,"P49917, Q13426","Heusel_CSB_2019, CORUM_Core, Heusel_StringDB_2019, CORUM_All"
Complex_154,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)","Q93034, Q15369, Q15370, Q9UBF6, Q96Q27","CORUM_Core, CORUM_All"
Complex_155,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)","Q93034, Q9Y576, Q15369, Q15370, Q9UBF6","CORUM_Core, CORUM_All"
Complex_156,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)","Q93034, Q15369, Q15370, Q9UBF6, Q9NWX5","CORUM_Core, CORUM_All"
Complex_157,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)","Q93034, Q15369, Q9H672, Q15370, Q9UBF6","CORUM_Core, CORUM_All"
Complex_158,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)","Q8WXK4, Q93034, Q15369, Q15370, Q9UBF6","CORUM_Core, CORUM_All"
Complex_159,DNA ligase III-XRCC1 complex,"P49916, P18887","Heusel_CSB_2019, CORUM_Core, CORUM_All"
Complex_160,DNA ligase IV-XRCC1 complex,"P49917, P18887","CORUM_Core, CORUM_All"
Complex_161,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)","Q93034, P62877, Q15369, Q9Y6I7, Q15370","CORUM_Core, CORUM_All"
Complex_162,PDZK1-NaPiIIa-MAP17 complex,"Q60825, Q9JIL4, Q9CQH0","CORUM_Core, CORUM_All"
Complex_163,CRSP complex,"Q6P2C8, O60244, O43513, Q9ULK4, O75448, Q15648, O95402, Q9NVC6",CORUM_All
Complex_164,CAND1-CUL1-RBX1 complex,"P62877, Q13616, Q86VP6","CORUM_Core, CORUM_All"
Complex_165,ARF-Mule complex,"Q7Z6Z7, Q8N726, P06748","CORUM_Core, CORUM_All"
Complex_166,CAND1-CUL2-RBX1 complex,"P62877, Q86VP6, Q13617","CORUM_Core, CORUM_All"
Complex_167,CAND1-CUL3-RBX1 complex,"P62877, Q92990, Q86VP6, Q13618","Heusel_CSB_2019, CORUM_Core, CORUM_All"
Complex_168,CAND1-CUL4A-RBX1 complex,"P62877, Q13619, Q86VP6","CORUM_Core, CORUM_All"
Complex_169,CAND1-CUL4B-RBX1 complex,"Q13620, P62877, Q86VP6","CORUM_Core, CORUM_All"
Complex_170,"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)","Q9Y297, P62877, Q13616, P63208, P25963","CORUM_Core, CORUM_All"
Complex_171,SMCC complex,"O60244, Q13503, P49336, P24863, O75448, Q9Y3C7, Q15648, O75586","CORUM_Core, CORUM_All"
Complex_172,NAT complex,"Q13503, O60244, P49336, Q9ULK4, P24863, O75586, Q9BTT4","CORUM_Core, CORUM_All"
