Protein A,Protein B
Q9H8K7,Q9UKG1
Q9H8K7,Q9ULH0
Q9H8K7,Q96D46
Q9H8K7,Q6XZF7
Q9H8K7,Q9UEU0
Q9H8K7,Q9UHJ6
Q9H8K7,Q8WW33
Q9H8K7,Q9UII2
Q9H8K7,P49005
Q9H8K7,Q8N4P3
Q9H8K7,Q7Z5K2
Q9H8K7,Q9BRF8
Q96FE7,Q96QD8
Q96FE7,P02786
Q96FE7,A5A3E0
Q96FE7,Q92466
Q96FE7,O00592
Q96FE7,Q8WWI5
Q96FE7,Q9BX46
P07478,P13497
P07478,Q9Y3A5
P07478,Q6UWY0
P07478,Q9UJH8
P07478,Q8NBK3
P28066,P25789
P28066,O14818
P28066,Q8TAA3
P28066,P25787
P28066,P25786
P28066,P25788
P28066,P20618
P28066,P60900
P28066,Q14997
P28066,P49721
P28066,Q06323
P28066,Q99436
P28066,Q9Y3I1
P28066,Q9Y244
P28066,P28072
P28066,Q969U7
P28066,P61289
P28066,Q9UL46
P28066,P28070
P28066,P49720
P28066,P28074
P28066,P40306
P28066,O95456
P28066,Q9GZU8
P28066,Q92530
P28066,Q9BT73
P28066,Q5JS54
P28066,P28065
Q6T310,Q495A1
Q6T310,Q9BY42
Q6T310,Q9Y3A5
Q6T310,Q9H3S4
Q6T310,P11226
Q6T310,P28289
Q6T310,P30613
Q6T310,P21108
Q6T310,Q9Y6B6
Q6T310,Q96PE2
Q6T310,P23919
O14593,O95747
O14593,O94906
O14593,Q9H6T0
O14593,O94761
O14593,Q92888
O14593,Q92797
O14593,Q2KHR2
O14593,P78347
O14593,Q15021
O14593,Q07864
O14593,O94927
O14593,Q96KQ7
O14593,P48382
O14593,O14641
O14593,Q99666
O14593,Q7Z736
O14593,Q86VI3
O14593,P21127
O14593,Q6ZWJ1
O14593,Q9NZ71
O14593,Q00341
O14593,Q9UPU7
O14593,Q96P16
O14593,Q86Y56
O14593,Q14669
O14593,O14727
O14593,O15534
O14593,Q9Y3I1
O14593,P49643
O14593,O75943
O14593,Q9NWZ5
O14593,Q9NTJ3
O14593,P54277
O14593,Q00653
O14593,Q2TAL8
O14593,Q7Z333
O14593,Q5THK1
O14593,P19525
O14593,Q96EK5
O14593,Q9H4H8
O14593,Q9BWT3
O14593,Q9NX02
O14593,Q5T2S8
O14593,Q96JH7
O14593,Q9NVW2
O14593,Q9NQB0
O14593,Q12830
O14593,Q9Y2Z2
O14593,Q3MIN7
O14593,Q15555
O14593,Q92878
O14593,Q8N9N5
O14593,Q8WWN8
O14593,P30613
O14593,P04049
O14593,Q12980
O14593,Q8IWZ3
O14593,Q8IVH2
O14593,P07996
O14593,Q6P996
O14593,Q9BW61
O14593,Q8WVB6
O14593,P50748
O14593,Q9BRT8
O14593,Q8NG31
O14593,Q8IY18
O14593,O75676
O14593,Q9UNY4
O14593,Q9Y2L1
O14593,O95347
O14593,P85037
O14593,Q01167
O14593,Q9NUQ8
O14593,O00287
O14593,P45983
O14593,P49642
O14593,Q9BVC3
O14593,Q13057
O14593,P00374
O14593,Q9UJC3
O14593,Q8ND04
O14593,Q9UBB6
O14593,Q8IU81
O14593,Q92625
O14593,O60493
O14593,Q15742
O14593,P28340
O14593,Q92802
O14593,Q9BZD4
O14593,Q96HA7
O14593,P40938
O14593,Q8TE77
O14593,O94966
O14593,Q6PFW1
O14593,O15013
O14593,Q6SPF0
O14593,Q13671
O14593,Q6PJG6
O14593,O15360
O14593,Q96BF6
O14593,Q86XL3
O14593,Q9P215
O14593,Q8IW35
O14593,P49754
Q9Y3A5,P22692
Q9Y3A5,P30613
Q9Y3A5,Q9Y383
Q8IWL1,P53675
Q8IWL1,A5A3E0
Q8IWL1,Q8N122
Q8IWL1,Q9UJS0
Q8IWL1,O75746
Q8IWL1,Q96SZ6
Q8IWL1,Q9Y619
Q8IWL1,O60256
Q8IWL1,P53671
Q8IWL1,Q96GD4
Q8IWL1,O14975
Q8IWL1,Q9UPY5
Q8IWL1,Q96NB2
Q8IWL1,Q68CQ7
Q8IWL1,Q5T160
Q8IWL1,Q00587
Q8IWL1,P10620
Q8IWL1,Q8WV60
Q8IWL1,Q9UMR2
Q8IWL1,O14966
Q8IWL1,Q4G0M1
Q8IWL1,P40337
Q56A73,Q86XK2
Q56A73,Q9H3S4
Q56A73,P11226
Q56A73,P30613
Q56A73,Q9NXF7
Q56A73,Q9Y657
Q8IYL3,O75367
Q8IYL3,P0C0S8
Q8IYL3,Q8IUE6
Q8IYL3,Q9NUP9
Q8IYL3,Q9NZW5
Q8IYL3,Q8TDR2
Q8IYL3,Q8N165
Q8IYL3,Q8IUF8
Q8IYL3,P53004
Q8IYL3,P45973
Q8IYL3,P07288
Q8IYL3,Q9Y2L1
Q8IYL3,Q9UGN5
Q8IYL3,Q5TEC6
Q8IYL3,Q9H3S4
Q8IYL3,O43865
Q8IYL3,P24158
P31213,P26022
P31213,P30613
P31213,O96005
Q8IUE1,Q8IUE0
Q8IUE1,Q9NP50
Q8IUE1,P29374
Q8IUE1,Q4LE39
Q8IUE1,Q9H160
Q8IUE1,O75446
Q8IUE1,Q9HAJ7
Q8IUE1,Q13547
Q8IUE1,Q92769
Q8IUE1,Q96ST3
Q8IUE1,O75182
Q8IUE1,Q9H0E3
Q8IUE1,Q9H7L9
Q8IUE1,O15417
Q8IUE1,Q09028
Q8IUE1,Q16576
Q8IUE1,Q5PSV4
Q8IUE1,Q9P281
Q8IUE1,Q5VU13
Q8IUE1,P33764
Q8IUE1,Q9UK53
Q8IUE1,Q9HCU9
Q8IUE1,Q86SJ6
Q8IUE1,Q8N0Z8
Q8N1Q8,O15091
Q8N1Q8,Q8TD30
Q8N1Q8,Q07973
Q8N1Q8,Q5T1C6
Q8N1Q8,Q9C0D3
Q8N1Q8,A4D1E9
Q8N1Q8,Q9BQP7
Q8N1Q8,P56556
Q8N1Q8,Q96M94
Q8N1Q8,Q9H1K1
Q8N1Q8,O75208
Q8N1Q8,P82909
Q8N1Q8,Q14596
Q96A25,P30511
Q96A25,P30450
Q96A25,P13747
Q96A25,Q8WVC6
Q96A25,Q8N394
Q96A25,Q8NFQ8
Q96A25,A2VDJ0
Q96A25,Q9NY47
Q96A25,P42892
Q96A25,Q04912
Q96A25,Q9UIW2
Q96A25,P51805
Q96A25,Q24JP5
Q96A25,Q68CR1
Q96A25,P19021
Q96A25,Q9BWS9
Q96A25,Q00973
Q96A25,Q8TEQ8
Q96A25,O75462
Q96A25,Q14703
Q96A25,P06756
Q96A25,Q16585
Q96A25,O00391
Q96A25,A6H8L7
Q96A25,Q13586
Q96A25,Q93063
Q96A25,Q8NFZ4
Q96A25,O14672
Q96A25,O14657
Q96A25,O15031
Q96A25,Q9Y5Y6
Q96A25,P52848
Q96A25,O75354
Q96A25,Q8NBP0
Q96A25,Q7Z7M9
Q96A25,Q9ULG6
Q96A25,Q96AE7
Q96A25,O94985
Q96A25,Q6P4Q7
Q96A25,Q8NAT1
Q96A25,O75787
Q96A25,Q9NTN9
Q96A25,Q14118
Q96A25,P24390
Q96A25,Q6AZY7
Q96A25,P01130
Q96A25,Q92545
Q96A25,Q06481
Q96A25,P05067
Q96A25,O43278
Q96A25,Q9Y2G8
Q96A25,P18084
Q96A25,Q3T906
Q96A25,P23229
Q96A25,Q9NV96
Q96A25,Q9UH99
Q96A25,O94898
Q96A25,Q92854
Q96A25,O14656
Q96A25,Q9NY97
Q96A25,Q14393
Q96A25,Q8NDZ4
Q96A25,Q969V3
Q96A25,Q13433
Q96A25,Q95460
Q96A25,P78536
Q96A25,P00533
Q96A25,P49641
Q96A25,Q9NUM4
Q96A25,Q8TED1
Q96A25,O43909
Q96A25,Q9P2E5
Q96A25,Q15155
Q96A25,Q13443
Q96A25,Q10471
Q96A25,Q8TC12
Q96A25,Q01974
Q96A25,Q96AQ6
Q96A25,Q16880
Q96A25,P21589
Q96A25,P00742
Q96A25,Q9NV66
Q96A25,P54760
Q96A25,Q15165
Q96A25,Q9NXH8
Q96A25,Q86XL3
Q96A25,Q5JRA6
Q96A25,Q8IXK2
Q96A25,Q6UWY0
Q96A25,Q92643
Q96A25,Q9BQT9
Q96A25,Q9H0V9
Q96A25,P14222
Q96A25,Q9NQS3
Q96A25,Q9NYQ6
Q96A25,O94901
Q96A25,Q8IW92
Q96A25,P33908
Q96A25,P01911
Q96A25,P79483
Q96A25,Q92729
Q96A25,Q9H9K5
Q96A25,Q5VV42
Q96A25,Q14318
Q96A25,Q02487
Q96A25,Q9UGT4
Q96A25,Q6UW63
Q96A25,O60243
Q96A25,Q96MM7
Q96A25,Q9BYC5
Q96A25,Q9NPR2
Q96A25,O60291
Q96A25,Q09328
Q96A25,Q9H5K3
Q96A25,Q13751
Q96A25,O60512
Q96A25,Q6UWL2
Q96A25,Q9BTV4
Q96A25,Q9H013
Q96A25,Q8N2K0
Q96A25,Q8NBZ7
Q96A25,Q68CQ7
Q96A25,P21709
Q96A25,P48960
Q96A25,P98153
Q96A25,Q96FL9
Q96A25,Q9NRB3
Q96A25,O96005
Q96A25,P27105
Q96A25,Q9BVX2
Q96A25,Q8TB96
Q96A25,Q6NUS6
Q96A25,O15533
Q96A25,Q99988
Q96A25,Q9Y219
Q96A25,Q8IWK6
Q96A25,Q9NZJ5
Q96A25,P48645
Q96A25,Q86UD1
Q96A25,P06213
Q96A25,Q9Y2U8
Q96A25,O14792
Q96A25,P09958
Q96A25,Q8IYS2
Q96A25,Q8NCH0
Q96A25,Q9Y653
Q96A25,Q9NZV5
Q96A25,Q30201
Q96A25,Q9NXG6
Q96A25,Q9Y5L3
Q96A25,Q9P2B2
Q96A25,Q6P5W5
Q96A25,P37088
Q96A25,Q92692
Q96A25,Q9UJH8
Q96A25,P15259
Q96A25,Q9H3T3
Q96A25,Q99640
Q96A25,Q9UHN6
Q96A25,P78357
Q96A25,Q9P244
Q96A25,Q5SP12
Q96A25,P01920
Q96A25,Q8IUL8
Q96A25,Q9Y5Z0
Q96A25,O94766
Q96A25,Q8IZY2
Q96A25,Q86Z23
Q96A25,Q9H1E5
Q96A25,Q4G148
Q96A25,Q6PJG9
Q96A25,Q8IXL6
Q96A25,Q9BTN0
Q96A25,P22413
